Amit	Shesh	0.920833333	0.8	0.656410256	0.218181818		70.8548951	C-
Clark 	Freifeld	1	0.888888889	0.9	0.987012987		92.53679654	A-
Aniruddha	Tapas	0.891666667	0.566666667	0.711111111	0.566233766		68.94011544	D+
Aditya	Sathyanarayan	0.783333333	0.8	0.333333333	0		53	F
Ritika	Nair	1	0.911111111	0.955555556	0.92987013		94.85425685	A
Rohan	Chitnis	0.933333333	1	0.977777778	0.745454545		95.23232323	A
Amit	Qu	0.9	0.9	0.8	0.85		85.5	B
Amit	Tang	0.95	0.9	0.89	0.98		91.4	A-
Aditya	Liao	0.9	0.6	0.8	0.8		76	C+
Clark 	Li	0.5	0.5	0.7	0.7		60	D-
Clark 	Xie	0.9	0.9	0.9	0.9		90	A-
Rohan	Zhang	0.8	0.6	0.5	0.9		63	D
Rohan	Wan	0.75	0.9	0.9	0.9		87	B+
Ritika	Jin	0.9	0.9	0.9	1		91	A-
Aniruddha	Qiao	0.8	0.8	0.8	0.8		80	B-
Ritika	Qi	0.7	0	0	0.6		20	F
